情境,原地號,暫編地號,所屬街廓,G(㎡),該側MinA(㎡),跨線併大側→,大側G(㎡)
3.5m,628-35,628-35(1),R2,77.9,153.65,628-35(2),858.71
3.5m,628,628(2),R6,9.11,156.06,628(1),1973.79
3.5m,628,628(4),R3,56.66,152.74,628(1),1973.79
3.5m,628-42,628-42(1),R2,6.27,153.65,628-42(2),115.68
3.5m,628-42,628-42(2),R3,115.68,152.74,628-42(2),115.68
3.5m,628-27,628-27(1),R2,39.14,153.65,628-27(1),39.14
3.5m,628-27,628-27(2),R3,35.34,152.74,628-27(1),39.14
3.5m,628-30,628-30(2),R2,118.91,153.65,628-30(3),619.54
3.5m,628-30,628-30(1),R5,21.35,157.64,628-30(3),619.54
3.5m,628-31,628-31(1),R5,14.53,157.64,628-31(2),517.58
3.5m,628-49,628-49(1),R2,86.49,153.65,628-49(2),107.2
3.5m,628-49,628-49(2),R3,107.2,152.74,628-49(2),107.2
3.5m,628-32,628-32(1),R5,4.27,157.64,628-32(2),577.59
3.5m,628-23,628-23(1),R6,93.89,156.06,628-23(2),574.47
3.5m,628-53,628-53(1),R6,0.33,156.06,628-53(2),2.08
3.5m,628-53,628-53(2),R5,2.08,157.64,628-53(2),2.08
3.5m,628-45,628-45(1),R5,70.86,157.64,628-45(2),278.65
