街廓,端,候選地號,原地號,真交集(㎡),整筆幾何(㎡),範圍面積(㎡),G估(㎡),門檻(㎡),範圍=門檻?,項三比(≤1),達標,截角邊(range),臨截角,側街邊(range),臨側街,正街角分(0.4),側街分(0.2),跨占分(0.4),總分,原位次(距角序·暫行),選中
R4,左,628(1),628,109.15,2437.61,109.2,1463.07,109.2,✅,0.9995,達標,5,4.9,29.556,29.556,0.392,0.2,0.3998,0.9918,42.06,✅
R4,右,628-1(1),628-1,109.65,762.17,109.7,457.8,109.7,✅,0.9995,達標,5,4.911,29.556,29.556,0.3929,0.2,0.3998,0.9927,22.03,✅
R6,右,628-18(1),628-18,16.81,554.75,146.38,333.35,146.38,✅,0.1148,達標,5,0,39.98,0,0.0,0.0,0.0459,0.0459,23.95,✅
R6,右,628-38(1),628-38,129.13,204.63,146.38,123.28,146.38,✅,0.8822,未達標,5,5,39.98,39.439,—,—,—,—,16.89,
R5,左,628-18(2),628-18,130.41,383.62,146.93,230.67,146.93,✅,0.8876,達標,5,0,39.982,33.921,0.0,0.1697,0.355,0.5247,26.83,✅
R5,左,628-53(2),628-53,2.79,2.79,146.93,2.17,146.93,✅,0.019,未達標,5,0,39.982,5.731,—,—,—,—,41.63,
R5,左,628-45(1),628-45,13.73,92.66,146.93,56.1,146.93,✅,0.0934,未達標,5,5,39.982,0.33,—,—,—,—,13.39,
R2,左,628-41(1),628-41,140.87,319.23,151.44,192.04,151.44,✅,0.9302,達標,5,5,41.411,32.89,0.4,0.1588,0.3721,0.9309,23.55,✅
R2,左,628-42(1),628-42,8.27,8.3,151.44,5.48,151.44,✅,0.0546,未達標,5,0,41.411,8.521,—,—,—,—,42.12,
R2,左,628-27(1),628-27,1.97,51.37,151.44,31.32,151.44,✅,0.013,未達標,5,0,41.411,0,—,—,—,—,43.05,
R3,右,628-45(2),628-45,36.27,362.2,152.82,217.82,152.82,✅,0.2373,達標,2.682,2.682,41.42,13.157,0.4,0.0635,0.0949,0.5585,13.97,✅
R3,右,628-42(2),628-42,102.31,152.74,152.82,92.14,152.82,✅,0.6695,未達標,2.682,0,41.42,28.263,—,—,—,—,28.46,
R3,右,628-27(2),628-27,11.96,46.72,152.82,28.53,152.82,✅,0.0783,未達標,2.682,0,41.42,0,—,—,—,—,43.32,
R3,右,628-28(1),628-28,2.29,114.3,152.82,69.08,152.82,✅,0.015,未達標,2.682,0,41.42,0,—,—,—,—,36.05,
R1,左,628-37(1),628-37,32.55,353.85,109.79,212.81,109.79,✅,0.2965,達標,4.569,4.569,29.579,8.209,0.4,0.0555,0.1186,0.5741,21.41,✅
R1,左,628-36(1),628-36,43.57,952.01,109.79,571.71,109.79,✅,0.3968,達標,4.569,0,29.579,12.417,0.0,0.084,0.1587,0.2427,39.58,
R1,左,628-35(2),628-35,33.67,1045.05,109.79,627.53,109.79,✅,0.3067,達標,4.569,0,29.579,8.952,0.0,0.0605,0.1227,0.1832,49.16,
R1,右,628(5),628,110.56,384.36,110.56,231.12,110.56,✅,1,達標,4.927,4.927,29.843,29.843,0.4,0.2,0.4,1.0,16.14,✅
